item_name,duration,duration_unit,active_status,start_dt
THERMAGE,6,MONTH,TRUE,1/1/2022
4DX,6,MONTH,TRUE,1/1/2022
FINE SKIN,1,MONTH,TRUE,1/1/2022
BOTOX,3,MONTH,TRUE,1/1/2022
FILLER,6,MONTH,TRUE,1/1/2022
PN,1,MONTH,TRUE,1/1/2022
XO,1,MONTH,TRUE,1/1/2022
GOURI,1,MONTH,TRUE,1/1/2022
WHITE MESO,2,WEEK,TRUE,1/1/2022
CLEAR,2,WEEK,TRUE,1/1/2022
MC,2,WEEK,TRUE,1/1/2022
SKIN FOOD,2,WEEK,TRUE,1/1/2022
DEEP CELL,2,WEEK,TRUE,1/1/2022
ABSOLUT,2,WEEK,TRUE,1/1/2022
SKIN BOOSTER,2,WEEK,TRUE,1/1/2022
4321,2,WEEK,TRUE,1/1/2022
,,,,
,,,,
,,,,
,,,,
